,gene,sg^Ind1^Rep1^CellType
497,gene-632,-8.793215830186298
498,gene-633,-11.006570344102476
499,gene-634,-11.667689475295097
500,gene-635,-10.999323889914052
501,gene-637,-10.87781802070767
502,gene-638,-11.202417584949481
503,gene-640,-10.900988718748017
504,gene-641,-10.858976060894575
505,gene-642,-11.607188777512524
506,gene-643,-11.502734388137199
507,gene-644,-10.76521222027071
508,gene-645,-11.623228595541494
509,gene-646,-9.589927997093234
510,gene-647,-11.505994785719352
511,gene-649,-11.623716546297862
512,gene-650,-9.570500842134907
513,gene-652,-9.942350162904749
514,gene-653,-10.458925931699017
515,gene-655,-10.150412440694172
516,gene-657,-10.025528476106375
517,gene-659,-10.578879479129878
518,gene-660,-10.840660363144032
519,gene-661,-10.939763019559614
520,gene-662,-10.717098198017016
521,gene-663,-10.908218583639862
522,gene-664,-9.891522064618101
523,gene-665,-11.109223434222907
524,gene-667,-11.307659133810377
525,gene-669,-9.788978025279246
526,gene-670,-9.336950850338912
527,gene-672,-10.411261229482985
528,gene-674,-10.710526208071933
529,gene-675,-10.47567618148865
530,gene-676,-9.607951223460994
531,gene-679,-8.655630746758218
532,gene-680,-9.939447854895537
533,gene-681,-11.28854281310414
534,gene-682,-10.431947044455653
535,gene-685,-9.395917714239713
536,gene-686,-10.051200428632011
537,gene-687,-9.841398084084377
538,gene-688,-10.737738296956369
539,gene-689,-9.569616913689764
540,gene-690,-11.105898759408941
541,gene-691,-10.310492375002418
542,gene-692,-10.155926706905788
543,gene-693,-9.565797207370743
544,gene-694,-10.686706496358628
545,gene-695,-10.886127286195697
546,gene-696,-10.882497908996404
547,gene-697,-10.068993815249675
548,gene-698,-9.497765615738828
549,gene-699,-9.900510202577541
550,gene-700,-9.309495986274406
551,gene-701,-11.22188782935812
552,gene-702,-9.597645510292311
553,gene-703,-11.648695330152336
554,gene-704,-11.061854354091134
555,gene-705,-8.441893675293315
556,gene-706,-10.56064359116033
557,gene-707,-9.977153818997525
558,gene-708,-8.8346691269743
559,gene-709,-10.659757363899287
560,gene-710,-10.201266674442286
561,gene-712,-11.159700910194735
562,gene-714,-10.922870727504227
563,gene-716,-9.545547655404544
564,gene-718,-9.698412599918965
565,gene-719,-10.69611021161041
566,gene-720,-10.990682638456336
567,gene-722,-10.972655062601671
568,gene-724,-10.555111347735018
569,gene-725,-11.149373430264346
570,gene-726,-9.773095535298792
571,gene-727,-9.97512081521808
572,gene-728,-9.679078752097228
573,gene-729,-10.15406103855817
574,gene-731,-9.082261105753739
575,gene-732,-10.01880028597688
576,gene-733,-10.816264033468226
577,gene-734,-11.48716650017783
578,gene-735,-10.456809242624276
579,gene-736,-10.260942390410733
580,gene-737,-10.267820674410242
581,gene-738,-9.003480978661164
582,gene-741,-9.45279228771489
583,gene-742,-10.407899169236375
584,gene-743,-9.097279590688478
585,gene-744,-10.274518879165074
586,gene-746,-8.486474621548913
587,gene-747,-9.509425130212767
588,gene-748,-10.925833829837076
589,gene-749,-9.361071011574506
590,gene-750,-10.795052207056198
591,gene-751,-9.38730690678471
592,gene-752,-10.811448124018918
593,gene-753,-10.240462426523049
594,gene-754,-8.121323901891701
595,gene-755,-9.79454944551064
596,gene-756,-10.735589213918814
597,gene-757,-9.133283261507232
598,gene-758,-10.821299228540239
599,gene-759,-9.756509561346236
600,gene-760,-10.074052336830475
601,gene-761,-10.24510905796235
602,gene-762,-9.25873951569601
603,gene-763,-9.838188526191704
604,gene-764,-10.989603218627279
605,gene-765,-8.325438628720109
606,gene-766,-7.4349105025806494
607,gene-768,-10.004646153390347
608,gene-770,-8.977435367523961
609,gene-773,-10.650256976979028
610,gene-774,-11.507902312040972
611,gene-776,-10.877551539138224
612,gene-777,-10.932893082488945
613,gene-778,-10.716791497191354
614,gene-779,-10.77960508932357
615,gene-780,-10.745347253920466
616,gene-781,-8.537771715496763
617,gene-782,-11.497379040569003
618,gene-783,-10.50913995188941
619,gene-785,-8.162714941356292
620,gene-786,-10.925191128217943
621,gene-787,-9.31478180863553
622,gene-788,-9.376184895295456
623,gene-789,-10.035443546332763
624,gene-790,-9.479516862566294
625,gene-791,-9.815908056925508
626,gene-792,-11.678061855330323
627,gene-794,-10.853723530435095
628,gene-795,-8.675025873001564
629,gene-796,-10.583660051817754
630,gene-798,-9.127369227997828
631,gene-799,-7.8499761867097515
632,gene-800,-9.559164464139027
633,gene-801,-9.513151494269053
634,gene-802,-10.252953798570092
635,gene-804,-10.018559054309916
636,gene-806,-11.257626016242051
637,gene-807,-11.315439049510386
638,gene-808,-9.509229904943329
639,gene-809,-9.715409864414312
640,gene-810,-10.664873835148596
641,gene-812,-7.748302506058258
642,gene-813,-10.441283169324628
643,gene-814,-10.346483153774352
644,gene-817,-10.348467067404064
645,gene-820,-10.491372884522804
646,gene-821,-10.118954173900459
647,gene-823,-11.42520278472707
648,gene-824,-10.735517087182838
649,gene-829,-10.749156200750226
650,gene-830,-9.806411090950165
651,gene-831,-9.76066502939631
652,gene-832,-9.591643507063896
653,gene-833,-9.848279275323263
654,gene-834,-10.794552031619059
655,gene-835,-10.132233904357054
656,gene-836,-10.604642943813307
657,gene-837,-11.044629967213357
658,gene-838,-11.214070712148908
659,gene-839,-8.865271418272762
660,gene-840,-9.687401173661224
661,gene-842,-10.746032643953253
662,gene-843,-11.252440906333133
663,gene-844,-9.779494828423758
664,gene-845,-9.689736832031125
665,gene-846,-10.877524731011613
666,gene-847,-9.691083385812552
667,gene-849,-9.581069920428249
668,gene-851,-10.560525565045054
669,gene-853,-10.233538958723194
670,gene-854,-9.198580354936544
671,gene-856,-11.172048338920916
672,gene-857,-7.474060223430715
673,gene-858,-8.46128421297808
674,gene-859,-10.786581209693408
675,gene-860,-9.79477798416027
676,gene-861,-10.574427818334772
677,gene-862,-11.340729613288602
678,gene-863,-8.622878617333944
679,gene-865,-11.209386685168644
680,gene-866,-9.819024064235434
681,gene-867,-8.368667492430529
682,gene-868,-8.417621325461747
683,gene-869,-9.104504405682635
684,gene-870,-11.01984836038438
685,gene-871,-10.21058285733741
686,gene-873,-11.4293686550267
687,gene-874,-11.443245185308898
688,gene-875,-10.028413608478587
689,gene-876,-10.074707079160145
690,gene-877,-9.935954682623722
691,gene-878,-8.534167958855674
692,gene-879,-11.011733797429159
693,gene-880,-11.622656209575181
694,gene-881,-8.239647254574118
695,gene-882,-10.252509700047604
696,gene-883,-9.805697742236275
697,gene-884,-9.340720591464361
698,gene-885,-11.104270532662179
699,gene-886,-11.154356010828378
700,gene-887,-8.366705384112842
701,gene-888,-10.255388021470107
702,gene-889,-9.65935471995744
703,gene-890,-11.202439906096902
704,gene-891,-11.24759078443463
705,gene-892,-9.907813728692135
706,gene-893,-9.68707490165461
707,gene-894,-9.790982441532627
708,gene-895,-10.736853060069096
709,gene-897,-10.328775350164651
710,gene-898,-10.669271661193502
711,gene-899,-11.187253712146353
712,gene-900,-10.770633653888556
713,gene-901,-10.86477477548376
714,gene-902,-9.43511245193193
715,gene-903,-11.026064006413248
716,gene-904,-10.133299584268986
717,gene-905,-10.44333154330045
718,gene-906,-9.788762121069594
719,gene-907,-9.94650970179302
720,gene-908,-10.791705120515426
721,gene-909,-9.036099265405996
722,gene-911,-11.004131369620625
723,gene-912,-10.60674935952737
724,gene-913,-10.335908280172932
725,gene-914,-11.304605621237187
726,gene-915,-11.526792209804348
727,gene-916,-9.37516117610498
728,gene-917,-8.910851635144581
729,gene-918,-10.130424164589977
730,gene-921,-11.319287210447628
731,gene-924,-10.132321552821427
732,gene-925,-9.919572702899213
733,gene-926,-8.126799489935193
734,gene-927,-9.846100485501026
735,gene-928,-9.093451706517326
736,gene-930,-9.711987776920353
737,gene-932,-11.60387768428725
738,gene-935,-9.948935304018642
739,gene-936,-10.833157281770845
740,gene-937,-10.930468013038354
741,gene-938,-9.071469141642492
742,gene-939,-10.787583904592045
743,gene-940,-10.960743413486707
744,gene-941,-8.516802761132666
745,gene-942,-9.67814866243988
746,gene-943,-11.04676185775635
747,gene-944,-9.46603001312003
748,gene-945,-10.467015174822684
749,gene-946,-10.35002707715207
750,gene-947,-10.147248642860614
751,gene-949,-9.322881871331061
752,gene-950,-10.744630514499402
753,gene-951,-9.775672380856696
754,gene-952,-9.288335977785193
755,gene-953,-10.78064646802946
756,gene-954,-9.831271580601847
757,gene-955,-10.699840087546747
758,gene-956,-10.555693182425376
759,gene-957,-11.601134577680929
760,gene-958,-10.803184522261208
761,gene-960,-10.101268367828597
762,gene-961,-10.537282325539204
763,gene-962,-7.077984808094406
764,gene-963,-10.745216729244568
765,gene-964,-11.058631354567934
766,gene-965,-9.435246184778373
767,gene-966,-10.00885041070391
768,gene-967,-9.08075395453935
769,gene-968,-8.669879473515834
770,gene-969,-11.2543242671648
771,gene-970,-9.256557384126358
772,gene-971,-11.083775254184646
773,gene-972,-10.378558633825966
774,gene-973,-7.441857284078978
775,gene-974,-8.358807051538044
