gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
UPF2,species,-0.010422841500218955,0.020897359903364936,0.5620711745244205,-0.05458906571108803,0.07199538187247673,0.43272050082957525,0.6054258904111514,0.7878116884410036
CDC123,species,0.17726697252092805,0.03433005967321164,2.2234737744748162e-07,0.03936462116866371,0.07857897040403902,0.6463731785720266,4.892513522228101e-07,0.8883093755748892
FRMD4A,species,0.09655077306748557,0.015058454978427619,1.1037349814756193e-10,-0.07982043081520318,0.04500239716321578,0.09283079587821187,3.0182832780387196e-10,0.4246920678109643
VTI1A,species,0.02252194485757111,0.016208419532051165,0.17233907343900656,0.03161491978789461,0.04759826509296972,0.5275960138533309,0.20535462191231732,0.8460378019543828
FHIP2A,species,0.039363166300501476,0.0337290198136371,0.22931641278686166,0.025727925282749003,0.08491285306411804,0.7244767950659494,0.26756984822355395,0.9179545460174374
DPYSL4,species,0.04490403143812492,0.038744640354950864,0.23685579982792326,-0.036392422330882065,0.09054640606613064,0.672276792290974,0.27567139870423873,0.9013369953942084
KIN,species,-0.17364726121725638,0.04332677526240734,6.923027594740518e-05,-0.031117448980199528,0.0922631553891951,0.7749571649497842,0.00012475095794143928,0.933737299920164
GFRA1,species,-0.5598834663832093,0.0702475206539541,1.378672859867802e-15,0.09500198858428559,0.1633030788133776,0.5705906051233651,4.8453849013324355e-15,0.8629663463646424
CACUL1,species,-0.35134235761429117,0.019345359137191865,2.77676901711708e-73,-0.00931154936387863,0.06935070437990602,0.8696330522732028,4.1821758644778704e-72,0.9625491401063431
TIAL1,species,0.13869347381752425,0.021004669221135603,4.524280405986281e-11,0.002358565403137966,0.07976506051442764,0.9643067966357814,1.2653821612189306e-10,0.9911364811079868
BAG3,species,-0.19613398394224085,0.050885470205027254,0.00011462709510101715,-0.12369447360054434,0.11954371411047003,0.28881196939152615,0.00020301829729312836,0.6769928908659356
SUV39H2,species,0.3220415634458372,0.032764737977173206,9.874680532849474e-23,3.6805880407498645e-05,0.08163806985077263,0.9635854973092461,4.705135657531065e-22,0.9909364525631514
DCLRE1C,species,0.03806184327671785,0.04558392274629603,0.38542317241138235,-0.05210013095472034,0.10712327158561588,0.6156313108083217,0.42890261592332457,0.8781206613195736
NMT2,species,-0.15066304457005927,0.032511978488915634,3.569179205168177e-06,-0.04451835390622358,0.0789212747974219,0.6077102685133097,7.180370243355222e-06,0.8758176620998587
